Date,Positive Posts,Negative Posts,Neutral Posts
2009-05-27,1,0,1
2010-05-22,1,0,0
2010-07-14,1,0,0
2011-01-02,1,0,0
2011-03-12,1,0,0
2011-06-25,1,0,0
2011-07-02,1,0,0
2011-07-09,5,0,0
2011-07-11,2,0,0
2011-07-13,1,0,0
2011-08-19,1,0,0
2011-08-23,1,0,1
2011-08-26,2,0,0
2011-08-31,2,0,0
2011-09-05,2,0,0
2011-09-10,2,0,0
2011-09-22,1,0,0
2011-09-25,1,0,0
2011-10-22,1,0,0
2011-10-24,2,0,1
2011-10-30,2,0,0
2011-11-01,3,0,0
2011-11-06,1,0,1
2011-11-20,2,0,0
2011-12-02,1,0,0
2011-12-03,2,0,0
2011-12-09,1,0,0
2012-01-01,1,0,0
2012-01-03,1,0,0
2012-02-26,1,0,0
2012-06-29,1,0,0
2012-07-01,1,0,0
2012-07-09,1,0,0
2012-08-04,1,0,0
2012-09-01,1,0,0
2012-09-03,1,0,0
2012-09-15,1,0,0
2013-03-22,1,0,22
2013-03-23,1,0,18
2013-05-15,1,0,40
2013-06-06,1,0,0
2013-06-12,1,0,0
2013-08-23,1,0,1
2013-08-27,1,0,0
2013-09-06,2,0,0
2013-09-13,1,0,0
2013-10-04,1,0,0
2014-03-25,1,0,0
2014-08-27,1,0,3
2015-04-09,1,1,1
2015-05-02,1,0,1
2015-06-16,1,0,0
2015-07-10,1,0,0
2015-10-06,1,0,0
2015-10-10,4,0,0
2015-10-11,1,0,0
2015-10-20,1,1,1
2015-10-24,1,0,0
2015-10-25,1,0,0
2015-10-30,1,0,0
2015-11-01,1,0,0
2015-11-08,1,0,3
2015-11-10,1,0,0
2015-11-12,1,0,1
2015-11-14,1,0,0
2015-11-15,2,0,0
2015-11-17,1,0,0
2015-11-20,1,0,4
2015-11-24,1,0,1
2015-11-27,1,1,0
2015-11-30,3,0,8
2015-12-02,1,0,1
2015-12-16,1,0,0
2016-01-25,2,0,1
2016-02-03,1,0,0
2016-02-19,1,0,1
2016-02-26,1,0,1
2016-03-01,1,0,1
2016-03-04,1,0,3
2016-03-06,1,0,0
2016-03-07,1,0,1
2016-03-16,1,0,0
2016-03-20,1,0,0
2016-03-21,1,0,1
2016-03-24,1,0,0
2016-04-11,1,0,1
2016-04-15,1,0,4
2016-05-11,1,0,1
2016-05-24,1,0,2
2016-05-30,1,0,1
2016-06-14,1,0,1
2016-06-15,1,0,1
2016-06-21,1,0,0
2016-06-22,1,0,2
2016-06-23,1,0,1
2016-06-24,2,0,2
2016-06-27,1,0,1
2016-06-30,1,0,0
2016-08-16,1,0,1
2016-08-19,1,0,0
2016-09-13,1,0,0
2016-10-03,1,0,0
2016-10-05,1,0,0
2016-10-08,1,0,1
2016-10-15,1,0,0
2016-10-17,1,0,0
2016-10-18,1,0,0
2016-10-22,1,0,0
2016-10-25,1,0,0
2016-10-27,1,0,0
2016-10-28,1,0,0
2016-10-29,1,0,0
2016-10-30,1,0,0
2016-11-03,1,0,0
2016-11-05,1,0,0
2016-11-08,1,1,0
2016-11-09,2,0,1
2016-11-15,1,0,0
2016-11-17,2,1,0
2016-11-20,1,0,1
2016-11-23,1,0,0
2016-11-26,1,0,0
2016-11-28,1,0,0
2016-11-30,1,0,0
2016-12-01,1,0,0
2016-12-04,2,0,0
2016-12-09,2,0,0
2016-12-10,1,1,1
2016-12-11,1,1,0
2016-12-15,2,3,0
2016-12-16,1,0,2
2017-01-15,1,1,0
2017-01-17,1,0,1
2017-01-22,2,0,0
2017-01-23,1,1,0
2017-01-30,1,0,1
2017-01-31,1,0,0
2017-02-04,1,0,0
2017-02-19,1,0,0
2017-02-20,1,0,1
2017-02-23,1,0,0
2017-03-06,2,0,0
2017-03-07,1,0,0
2017-03-10,3,0,0
2017-03-11,2,0,1
2017-03-14,1,1,0
2017-03-26,2,0,1
2017-03-31,1,0,0
2017-04-02,1,0,0
2017-04-14,1,0,0
2017-04-22,1,0,0
2017-04-25,1,0,0
2017-04-28,1,0,0
2017-05-02,1,0,0
2017-05-07,1,0,1
2017-05-08,2,0,1
2017-05-16,1,1,1
2017-05-17,1,0,0
2017-05-30,1,1,0
2017-05-31,1,1,0
2017-06-04,1,0,0
2017-06-06,1,0,0
2017-06-07,1,0,0
2017-06-09,3,0,3
2017-06-11,1,0,2
2017-06-13,1,0,2
2017-06-16,1,1,0
2017-06-24,1,0,0
2017-07-11,1,0,1
2017-07-25,2,2,6
2017-07-28,1,0,0
2017-08-18,1,0,0
2017-08-22,1,0,0
2017-08-30,1,0,0
2017-08-31,1,0,0
2017-09-02,1,0,0
2017-09-06,1,0,0
2017-09-11,1,0,0
2017-09-18,1,0,0
2017-09-23,2,0,0
2017-09-25,1,0,0
2017-09-30,1,0,0
2017-10-01,2,0,0
2017-10-02,1,0,0
2017-10-03,1,0,0
2017-10-11,1,0,0
2017-10-17,2,0,0
2017-10-19,1,0,0
2017-11-03,1,0,0
2017-11-04,2,1,1
2017-11-06,1,0,0
2017-11-11,1,0,0
2017-11-12,1,0,0
2017-11-13,1,0,0
2017-11-20,1,0,0
2017-11-21,1,0,0
2017-11-28,1,3,1
2017-11-30,1,0,0
2017-12-01,1,0,0
2017-12-08,1,0,0
2017-12-15,1,0,0
2018-01-04,1,0,0
2018-01-17,1,0,0
2018-01-18,1,0,1
2018-01-27,1,0,0
2018-02-03,1,0,0
2018-02-04,2,0,0
2018-02-06,1,0,1
2018-02-07,1,0,0
2018-02-15,1,0,0
2018-02-18,1,0,0
2018-02-20,1,0,0
2018-02-25,1,0,2
2018-03-04,1,0,0
2018-03-08,1,0,0
2018-03-09,1,0,1
2018-03-11,1,0,0
2018-03-14,1,0,0
2018-03-15,1,0,0
2018-03-19,2,1,0
2018-03-23,1,0,0
2018-03-27,2,0,0
2018-04-04,2,0,0
2018-04-09,1,0,0
2018-04-16,1,0,0
2018-04-24,2,0,0
2018-04-25,1,0,1
2018-05-04,1,0,0
2018-06-22,1,0,0
2018-07-02,1,0,0
2018-07-04,1,0,0
2018-07-14,1,0,1
2018-07-15,1,0,0
2018-07-21,2,0,0
2018-07-22,1,0,0
2018-08-12,1,1,0
2018-08-28,1,0,0
2018-08-29,1,0,0
2018-08-30,1,0,0
2018-08-31,1,0,1
2018-09-01,1,1,0
2018-09-06,1,0,0
2018-09-09,1,0,0
2018-09-18,1,0,0
2018-09-23,1,0,0
2018-09-25,1,0,1
2018-10-04,1,0,0
2018-10-06,1,0,1
2018-11-03,1,0,0
2018-11-11,1,0,0
2018-12-09,1,0,0
2018-12-17,1,0,0
2018-12-23,1,0,0
2019-01-05,2,0,0
2019-01-25,1,0,1
2019-01-30,1,0,0
2019-02-08,1,0,0
2019-03-21,1,0,0
2019-03-27,2,0,0
2019-04-30,1,0,0
2019-05-05,1,0,0
2019-05-13,1,0,0
2019-06-04,1,0,0
2019-06-20,1,0,0
2019-07-10,1,0,0
2019-07-18,1,0,0
2019-07-20,1,0,0
2019-07-21,1,0,0
2019-07-22,1,0,0
2019-07-25,1,0,1
2019-07-26,1,0,0
2019-08-16,2,0,0
2019-08-24,1,0,0
2019-09-03,1,0,0
2019-09-09,1,0,0
2019-09-13,2,0,0
2019-10-07,1,0,0
2019-11-10,2,0,0
2019-11-20,1,0,0
2019-12-03,1,0,0
2019-12-06,1,0,1
2019-12-11,1,1,1
2019-12-12,1,1,1
2020-01-21,1,0,0
2020-02-16,1,0,0
2020-03-18,1,0,0
2009-11-11,0,1,0
2011-01-22,0,1,0
2011-04-21,0,1,0
2012-07-22,0,1,1
2012-09-22,0,1,2
2013-01-02,0,1,0
2013-02-09,0,1,4
2013-04-11,0,1,9
2013-04-12,0,1,15
2013-04-21,0,1,27
2013-05-28,0,1,1
2013-08-07,0,1,0
2013-09-14,0,1,0
2014-11-09,0,1,2
2015-10-16,0,1,0
2015-10-23,0,1,0
2015-11-29,0,1,0
2015-12-05,0,2,0
2016-02-18,0,1,2
2016-05-10,0,1,3
2016-05-13,0,1,1
2016-06-07,0,1,0
2016-09-20,0,1,0
2016-11-01,0,1,0
2016-11-13,0,1,0
2016-11-18,0,1,0
2016-11-24,0,1,0
2016-11-25,0,1,0
2016-12-02,0,1,0
2016-12-17,0,1,0
2017-01-13,0,1,1
2017-01-14,0,2,0
2017-02-17,0,2,0
2017-04-20,0,1,0
2017-05-06,0,1,0
2017-05-21,0,1,0
2017-05-22,0,1,0
2017-06-12,0,1,0
2017-07-31,0,1,0
2017-08-03,0,1,0
2017-10-20,0,1,0
2018-02-02,0,1,0
2018-02-24,0,1,0
2018-03-29,0,2,0
2018-04-02,0,1,0
2018-04-26,0,1,0
2018-05-29,0,1,0
2018-10-03,0,1,0
2018-11-19,0,1,0
2018-12-03,0,1,0
2018-12-29,0,1,0
2019-03-24,0,1,0
2019-11-15,0,1,0
2019-11-21,0,1,0
2019-11-24,0,1,0
2019-12-04,0,1,1
2019-12-07,0,1,0
2019-12-09,0,1,0
2009-05-26,0,0,1
2010-05-02,0,0,1
2010-05-09,0,0,1
2010-05-30,0,0,11
2010-06-03,0,0,1
2011-04-10,0,0,1
2011-04-12,0,0,1
2011-08-18,0,0,1
2011-09-11,0,0,1
2011-10-23,0,0,2
2012-01-15,0,0,1
2012-01-22,0,0,7
2012-03-24,0,0,1
2012-03-28,0,0,1
2012-04-12,0,0,1
2012-05-07,0,0,1
2012-06-20,0,0,1
2012-07-08,0,0,2
2012-07-16,0,0,2
2012-07-25,0,0,1
2012-11-02,0,0,3
2012-11-07,0,0,1
2012-11-13,0,0,1
2012-12-14,0,0,1
2012-12-20,0,0,44
2012-12-21,0,0,56
2012-12-22,0,0,1
2012-12-26,0,0,67
2012-12-31,0,0,1
2013-01-06,0,0,1
2013-01-12,0,0,28
2013-01-13,0,0,4
2013-02-03,0,0,1
2013-03-01,0,0,33
2013-03-02,0,0,32
2013-03-03,0,0,29
2013-03-04,0,0,9
2013-03-06,0,0,10
2013-03-07,0,0,15
2013-03-08,0,0,34
2013-03-09,0,0,34
2013-03-10,0,0,33
2013-03-12,0,0,15
2013-03-13,0,0,13
2013-03-14,0,0,17
2013-03-16,0,0,23
2013-03-18,0,0,21
2013-03-19,0,0,9
2013-03-21,0,0,21
2013-03-24,0,0,11
2013-03-28,0,0,24
2013-03-29,0,0,37
2013-03-30,0,0,17
2013-03-31,0,0,9
2013-04-01,0,0,10
2013-04-02,0,0,24
2013-04-03,0,0,20
2013-04-04,0,0,11
2013-04-07,0,0,18
2013-04-09,0,0,22
2013-04-10,0,0,60
2013-04-16,0,0,7
2013-04-19,0,0,15
2013-04-20,0,0,22
2013-04-23,0,0,24
2013-04-24,0,0,22
2013-04-26,0,0,24
2013-04-27,0,0,80
2013-04-28,0,0,20
2013-04-30,0,0,6
2013-05-01,0,0,5
2013-05-03,0,0,21
2013-05-04,0,0,31
2013-05-05,0,0,16
2013-05-06,0,0,17
2013-05-07,0,0,11
2013-05-09,0,0,47
2013-05-10,0,0,16
2013-05-11,0,0,40
2013-05-12,0,0,45
2013-05-13,0,0,21
2013-05-14,0,0,15
2013-05-16,0,0,24
2013-05-18,0,0,51
2013-05-19,0,0,16
2013-05-20,0,0,15
2013-05-21,0,0,31
2013-05-22,0,0,29
2013-05-23,0,0,20
2013-05-24,0,0,67
2013-05-25,0,0,7
2013-05-26,0,0,10
2013-06-02,0,0,1
2013-06-14,0,0,1
2013-06-27,0,0,1
2013-07-05,0,0,1
2013-08-18,0,0,1
2013-08-24,0,0,1
2013-08-25,0,0,59
2013-08-26,0,0,1
2013-09-02,0,0,2
2013-09-03,0,0,1
2013-09-07,0,0,1
2013-11-08,0,0,1
2014-06-21,0,0,1
2014-08-06,0,0,1
2014-08-26,0,0,1
2014-10-06,0,0,1
2014-11-22,0,0,1
2015-03-28,0,0,1
2015-04-15,0,0,1
2015-05-08,0,0,1
2015-06-22,0,0,1
2015-08-30,0,0,1
2015-09-21,0,0,1
2015-09-22,0,0,1
2015-09-28,0,0,1
2015-10-07,0,0,1
2015-10-12,0,0,1
2015-10-13,0,0,1
2015-10-17,0,0,1
2015-10-18,0,0,1
2015-10-19,0,0,2
2015-10-21,0,0,5
2015-10-27,0,0,1
2015-10-28,0,0,1
2015-11-02,0,0,1
2015-11-03,0,0,6
2015-11-04,0,0,2
2015-11-06,0,0,1
2015-11-13,0,0,1
2015-11-16,0,0,4
2015-11-18,0,0,6
2015-11-19,0,0,2
2015-11-21,0,0,1
2015-11-22,0,0,1
2015-11-23,0,0,12
2015-11-25,0,0,2
2015-12-03,0,0,1
2015-12-04,0,0,2
2015-12-07,0,0,2
2015-12-12,0,0,1
2015-12-13,0,0,1
2015-12-20,0,0,1
2015-12-21,0,0,1
2015-12-22,0,0,1
2016-01-09,0,0,1
2016-01-17,0,0,3
2016-01-24,0,0,1
2016-01-26,0,0,1
2016-02-05,0,0,1
2016-02-15,0,0,1
2016-02-17,0,0,1
2016-02-20,0,0,3
2016-02-29,0,0,3
2016-03-09,0,0,1
2016-03-11,0,0,1
2016-03-13,0,0,1
2016-03-14,0,0,4
2016-03-15,0,0,1
2016-03-19,0,0,1
2016-03-25,0,0,3
2016-03-27,0,0,3
2016-03-29,0,0,1
2016-03-31,0,0,4
2016-04-01,0,0,1
2016-04-02,0,0,3
2016-04-04,0,0,2
2016-04-05,0,0,1
2016-04-06,0,0,2
2016-04-08,0,0,1
2016-04-09,0,0,1
2016-04-12,0,0,2
2016-04-13,0,0,1
2016-04-16,0,0,2
2016-04-18,0,0,2
2016-04-19,0,0,2
2016-04-23,0,0,1
2016-04-25,0,0,1
2016-04-26,0,0,1
2016-04-28,0,0,1
2016-04-29,0,0,1
2016-04-30,0,0,1
2016-05-02,0,0,5
2016-05-04,0,0,1
2016-05-05,0,0,5
2016-05-06,0,0,1
2016-05-07,0,0,2
2016-05-09,0,0,1
2016-05-12,0,0,1
2016-05-17,0,0,1
2016-05-19,0,0,2
2016-05-22,0,0,1
2016-05-23,0,0,2
2016-05-25,0,0,1
2016-05-26,0,0,1
2016-05-31,0,0,2
2016-06-03,0,0,1
2016-06-05,0,0,1
2016-06-09,0,0,1
2016-06-10,0,0,2
2016-06-11,0,0,1
2016-06-13,0,0,1
2016-06-25,0,0,2
2016-06-26,0,0,1
2016-07-08,0,0,1
2016-08-27,0,0,1
2016-08-31,0,0,1
2016-10-11,0,0,1
2016-11-10,0,0,1
2016-11-11,0,0,1
2016-11-12,0,0,1
2016-11-22,0,0,1
2016-12-05,0,0,3
2016-12-06,0,0,1
2016-12-29,0,0,1
2017-01-20,0,0,1
2017-01-24,0,0,1
2017-02-01,0,0,1
2017-02-02,0,0,1
2017-02-05,0,0,1
2017-02-07,0,0,1
2017-02-18,0,0,1
2017-02-26,0,0,1
2017-03-01,0,0,1
2017-03-04,0,0,1
2017-03-13,0,0,1
2017-03-21,0,0,1
2017-04-10,0,0,1
2017-04-19,0,0,1
2017-05-03,0,0,1
2017-05-11,0,0,1
2017-05-26,0,0,2
2017-06-02,0,0,1
2017-06-05,0,0,1
2017-06-14,0,0,1
2017-06-21,0,0,1
2017-06-23,0,0,1
2017-07-06,0,0,1
2017-08-09,0,0,1
2017-08-20,0,0,1
2017-08-28,0,0,1
2017-08-29,0,0,1
2017-10-08,0,0,1
2017-11-02,0,0,1
2018-01-10,0,0,1
2018-02-09,0,0,1
2018-02-23,0,0,1
2018-02-27,0,0,1
2018-03-01,0,0,1
2018-03-10,0,0,1
2018-04-23,0,0,1
2018-07-19,0,0,1
2018-07-24,0,0,2
2018-08-13,0,0,1
2018-09-02,0,0,1
2018-09-08,0,0,1
2018-10-18,0,0,1
2018-12-11,0,0,2
2019-01-10,0,0,1
2019-01-20,0,0,1
2019-01-22,0,0,1
2019-05-24,0,0,1
2019-05-25,0,0,1
2019-08-30,0,0,1
2019-11-26,0,0,1
2019-12-05,0,0,1
2019-12-08,0,0,4
2019-12-10,0,0,1
